Sno,Material Code,Material Description ,GL Account,Valuation Class,Description
1,2002670,Laptop,60090141,2028,Business laptop used for office productivity and enterprise applications.
2,2002671,AMC,60090142,2029,Annual maintenance contract for equipment or systems.
3,2002672,Pen,60090143,2030,Blue ink ball pen for office writing.
4,2002673,Pencil,60090144,2031,HB pencil for writing and sketching.
5,2002674,Headset,60090145,2032,USB headset for calls and virtual meetings.
6,2002675,Adapter,60090146,2033,Adapter used in daily business operations and procurement.
7,2002676,Cable,60090147,2034,Cable used in daily business operations and procurement.
8,2002677,Server,60090148,2035,Server used in daily business operations and procurement.
9,2002678,Notebook,60090149,2036,Notebook used in daily business operations and procurement.
10,2002679,Router,60090150,2037,Router used in daily business operations and procurement.
11,2002680,Mouse,60090151,2038,Mouse used in daily business operations and procurement.
12,2002681,Adapter,60090152,2039,Adapter used in daily business operations and procurement.
13,2002682,Cable,60090153,2040,Cable used in daily business operations and procurement.
14,2002683,Headset,60090154,2041,USB headset for calls and virtual meetings.
15,2002684,USB Drive,60090155,2042,USB Drive used in daily business operations and procurement.
16,2002685,Headset,60090156,2043,USB headset for calls and virtual meetings.
17,2002686,Printer,60090157,2044,Printer used in daily business operations and procurement.
18,2002687,USB Drive,60090158,2045,USB Drive used in daily business operations and procurement.
19,2002688,Marker,60090159,2046,Marker used in daily business operations and procurement.
20,2002689,Scanner,60090160,2047,Scanner used in daily business operations and procurement.
21,2002690,Cable,60090161,2048,Cable used in daily business operations and procurement.
22,2002691,Router,60090162,2049,Router used in daily business operations and procurement.
23,2002692,USB Drive,60090163,2050,USB Drive used in daily business operations and procurement.
24,2002693,Desk,60090164,2051,Desk used in daily business operations and procurement.
25,2002694,Notebook,60090165,2052,Notebook used in daily business operations and procurement.
26,2002695,Scanner,60090166,2053,Scanner used in daily business operations and procurement.
27,2002696,Chair,60090167,2054,Chair used in daily business operations and procurement.
28,2002697,Scanner,60090168,2055,Scanner used in daily business operations and procurement.
29,2002698,Notebook,60090169,2056,Notebook used in daily business operations and procurement.
30,2002699,USB Drive,60090170,2057,USB Drive used in daily business operations and procurement.
